,market_datetimes
0,2023-01-03 09:30:00
1,2023-01-03 10:30:00
2,2023-01-03 11:30:00
3,2023-01-03 12:30:00
4,2023-01-03 13:30:00
5,2023-01-03 14:30:00
6,2023-01-03 15:30:00
7,2023-01-04 09:30:00
8,2023-01-04 10:30:00
9,2023-01-04 11:30:00
10,2023-01-04 12:30:00
11,2023-01-04 13:30:00
12,2023-01-04 14:30:00
13,2023-01-04 15:30:00
14,2023-01-05 09:30:00
15,2023-01-05 10:30:00
16,2023-01-05 11:30:00
17,2023-01-05 12:30:00
18,2023-01-05 13:30:00
19,2023-01-05 14:30:00
20,2023-01-05 15:30:00
21,2023-01-06 09:30:00
22,2023-01-06 10:30:00
23,2023-01-06 11:30:00
24,2023-01-06 12:30:00
25,2023-01-06 13:30:00
26,2023-01-06 14:30:00
27,2023-01-06 15:30:00
28,2023-01-09 09:30:00
29,2023-01-09 10:30:00
30,2023-01-09 11:30:00
31,2023-01-09 12:30:00
32,2023-01-09 13:30:00
33,2023-01-09 14:30:00
34,2023-01-09 15:30:00
35,2023-01-10 09:30:00
36,2023-01-10 10:30:00
37,2023-01-10 11:30:00
38,2023-01-10 12:30:00
39,2023-01-10 13:30:00
40,2023-01-10 14:30:00
41,2023-01-10 15:30:00
42,2023-01-11 09:30:00
43,2023-01-11 10:30:00
44,2023-01-11 11:30:00
45,2023-01-11 12:30:00
46,2023-01-11 13:30:00
47,2023-01-11 14:30:00
48,2023-01-11 15:30:00
49,2023-01-12 09:30:00
50,2023-01-12 10:30:00
51,2023-01-12 11:30:00
52,2023-01-12 12:30:00
53,2023-01-12 13:30:00
54,2023-01-12 14:30:00
55,2023-01-12 15:30:00
56,2023-01-13 09:30:00
57,2023-01-13 10:30:00
58,2023-01-13 11:30:00
59,2023-01-13 12:30:00
60,2023-01-13 13:30:00
61,2023-01-13 14:30:00
62,2023-01-13 15:30:00
63,2023-01-17 09:30:00
64,2023-01-17 10:30:00
65,2023-01-17 11:30:00
66,2023-01-17 12:30:00
67,2023-01-17 13:30:00
68,2023-01-17 14:30:00
69,2023-01-17 15:30:00
70,2023-01-18 09:30:00
71,2023-01-18 10:30:00
72,2023-01-18 11:30:00
73,2023-01-18 12:30:00
74,2023-01-18 13:30:00
75,2023-01-18 14:30:00
76,2023-01-18 15:30:00
77,2023-01-19 09:30:00
78,2023-01-19 10:30:00
79,2023-01-19 11:30:00
80,2023-01-19 12:30:00
81,2023-01-19 13:30:00
82,2023-01-19 14:30:00
83,2023-01-19 15:30:00
84,2023-01-20 09:30:00
85,2023-01-20 10:30:00
86,2023-01-20 11:30:00
87,2023-01-20 12:30:00
88,2023-01-20 13:30:00
89,2023-01-20 14:30:00
90,2023-01-20 15:30:00
91,2023-01-23 09:30:00
92,2023-01-23 10:30:00
93,2023-01-23 11:30:00
94,2023-01-23 12:30:00
95,2023-01-23 13:30:00
96,2023-01-23 14:30:00
97,2023-01-23 15:30:00
98,2023-01-24 09:30:00
99,2023-01-24 10:30:00
100,2023-01-24 11:30:00
101,2023-01-24 12:30:00
102,2023-01-24 13:30:00
103,2023-01-24 14:30:00
104,2023-01-24 15:30:00
105,2023-01-25 09:30:00
106,2023-01-25 10:30:00
107,2023-01-25 11:30:00
108,2023-01-25 12:30:00
109,2023-01-25 13:30:00
110,2023-01-25 14:30:00
111,2023-01-25 15:30:00
112,2023-01-26 09:30:00
113,2023-01-26 10:30:00
114,2023-01-26 11:30:00
115,2023-01-26 12:30:00
116,2023-01-26 13:30:00
117,2023-01-26 14:30:00
118,2023-01-26 15:30:00
119,2023-01-27 09:30:00
120,2023-01-27 10:30:00
121,2023-01-27 11:30:00
122,2023-01-27 12:30:00
123,2023-01-27 13:30:00
124,2023-01-27 14:30:00
125,2023-01-27 15:30:00
126,2023-01-30 09:30:00
127,2023-01-30 10:30:00
128,2023-01-30 11:30:00
129,2023-01-30 12:30:00
130,2023-01-30 13:30:00
131,2023-01-30 14:30:00
132,2023-01-30 15:30:00
133,2023-01-31 09:30:00
134,2023-01-31 10:30:00
135,2023-01-31 11:30:00
136,2023-01-31 12:30:00
137,2023-01-31 13:30:00
138,2023-01-31 14:30:00
139,2023-01-31 15:30:00
140,2023-02-01 09:30:00
141,2023-02-01 10:30:00
142,2023-02-01 11:30:00
143,2023-02-01 12:30:00
144,2023-02-01 13:30:00
145,2023-02-01 14:30:00
146,2023-02-01 15:30:00
147,2023-02-02 09:30:00
148,2023-02-02 10:30:00
149,2023-02-02 11:30:00
150,2023-02-02 12:30:00
151,2023-02-02 13:30:00
152,2023-02-02 14:30:00
153,2023-02-02 15:30:00
154,2023-02-03 09:30:00
155,2023-02-03 10:30:00
156,2023-02-03 11:30:00
157,2023-02-03 12:30:00
158,2023-02-03 13:30:00
159,2023-02-03 14:30:00
